match_id,player_name,steam_id,position,g,a,shots,hits,blocks,sa,ga,so
"S1-WUT-name:BarDownBart-1","BarDownBart","","D","0","1","3","0","1","0","0","0"
"S1-WUT-name:BarDownBart-2","BarDownBart","","D","0","1","3","0","0","0","0","0"
"S1-WUT-name:BarDownBart-3","BarDownBart","","D","0","1","3","0","0","0","0","0"
"S1-WUT-name:BarDownBart-4","BarDownBart","","D","0","1","2","0","0","0","0","0"
"S1-WUT-name:BarDownBart-5","BarDownBart","","D","0","1","2","0","0","0","0","0"
"S1-WUT-name:BarDownBart-6","BarDownBart","","D","0","0","2","0","0","0","0","0"
"S1-WUT-name:BarDownBart-7","BarDownBart","","D","1","0","2","0","0","0","0","0"
"S1-WUT-name:BarDownBart-8","BarDownBart","","D","1","1","2","0","1","0","0","0"
"S1-WUT-name:BarDownBart-9","BarDownBart","","D","1","1","3","0","1","0","0","0"
"S1-WUT-name:BarDownBart-10","BarDownBart","","D","1","1","3","0","1","0","0","0"
"S1-WUT-name:Bloomer-1","Bloomer","","D","1","1","1","1","1","0","0","0"
"S1-WUT-name:Bloomer-2","Bloomer","","D","1","1","1","1","1","0","0","0"
"S1-WUT-name:Bloomer-3","Bloomer","","D","0","1","1","1","1","0","0","0"
"S1-WUT-name:Bloomer-4","Bloomer","","D","0","1","1","1","1","0","0","0"
"S1-WUT-name:Bloomer-5","Bloomer","","D","0","1","1","0","1","0","0","0"
"S1-WUT-name:Bloomer-6","Bloomer","","D","0","0","1","0","0","0","0","0"
"S1-WUT-name:Bloomer-7","Bloomer","","D","0","0","1","0","0","0","0","0"
"S1-WUT-name:Bloomer-8","Bloomer","","D","0","0","1","0","0","0","0","0"
"S1-WUT-name:Bloomer-9","Bloomer","","D","1","0","1","1","0","0","0","0"
"S1-WUT-name:Bloomer-10","Bloomer","","D","1","1","0","1","1","0","0","0"
"S1-WUT-name:BOESER-1","BOESER","","F","1","1","3","0","0","0","0","0"
"S1-WUT-name:BOESER-2","BOESER","","F","0","0","3","0","0","0","0","0"
"S1-WUT-name:BOESER-3","BOESER","","F","0","0","3","0","0","0","0","0"
"S1-WUT-name:BOESER-4","BOESER","","F","0","0","3","0","0","0","0","0"
"S1-WUT-name:BOESER-5","BOESER","","F","1","0","3","1","0","0","0","0"
"S1-WUT-name:BOESER-6","BOESER","","F","1","1","3","1","1","0","0","0"
"S1-WUT-name:BOESER-7","BOESER","","F","1","1","4","0","1","0","0","0"
"S1-WUT-name:BOESER-8","BOESER","","F","1","1","4","0","0","0","0","0"
"S1-WUT-name:BOESER-9","BOESER","","F","1","1","3","0","0","0","0","0"
"S1-WUT-name:BOESER-10","BOESER","","F","1","1","3","0","0","0","0","0"
"S1-WUT-name:Chilliam-1","Chilliam","","D","0","1","1","0","1","0","0","0"
"S1-WUT-name:Chilliam-2","Chilliam","","D","0","1","1","0","1","0","0","0"
"S1-WUT-name:Chilliam-3","Chilliam","","D","0","1","0","0","0","0","0","0"
"S1-WUT-name:Chilliam-4","Chilliam","","D","0","1","0","0","0","0","0","0"
"S1-WUT-name:Chilliam-5","Chilliam","","D","0","1","0","0","0","0","0","0"
"S1-WUT-name:Chilliam-6","Chilliam","","D","0","1","0","0","0","0","0","0"
"S1-WUT-name:Chilliam-7","Chilliam","","D","0","1","0","0","0","0","0","0"
"S1-WUT-name:Chilliam-8","Chilliam","","D","0","1","0","0","0","0","0","0"
"S1-WUT-name:Chilliam-9","Chilliam","","D","0","2","0","0","1","0","0","0"
"S1-WUT-name:Chilliam-10","Chilliam","","D","0","1","1","0","1","0","0","0"
"S1-WUT-name:dabz-1","dabz","","D","0","1","2","0","1","0","0","0"
"S1-WUT-name:dabz-2","dabz","","D","0","0","2","0","1","0","0","0"
"S1-WUT-name:dabz-3","dabz","","D","0","0","2","0","1","0","0","0"
"S1-WUT-name:dabz-4","dabz","","D","0","0","2","0","0","0","0","0"
"S1-WUT-name:dabz-5","dabz","","D","0","0","2","0","0","0","0","0"
"S1-WUT-name:dabz-6","dabz","","D","1","0","2","1","0","0","0","0"
"S1-WUT-name:dabz-7","dabz","","D","1","1","2","0","1","0","0","0"
"S1-WUT-name:dabz-8","dabz","","D","1","1","3","0","1","0","0","0"
"S1-WUT-name:dabz-9","dabz","","D","0","1","3","0","1","0","0","0"
"S1-WUT-name:dabz-10","dabz","","D","0","1","2","0","1","0","0","0"
"S1-WUT-name:Foster-1","Foster","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Foster-2","Foster","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Foster-3","Foster","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Foster-4","Foster","","G","0","0","0","0","0","8","1","0"
"S1-WUT-name:Foster-5","Foster","","G","0","0","0","0","0","8","2","0"
"S1-WUT-name:Foster-6","Foster","","G","0","0","0","0","0","8","1","1"
"S1-WUT-name:Foster-7","Foster","","G","0","0","0","0","0","8","1","1"
"S1-WUT-name:Foster-8","Foster","","G","0","0","0","0","0","7","1","1"
"S1-WUT-name:Foster-9","Foster","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Foster-10","Foster","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:foxbrow-1","foxbrow","","F","0","1","1","3","0","0","0","0"
"S1-WUT-name:foxbrow-2","foxbrow","","F","0","1","1","3","0","0","0","0"
"S1-WUT-name:foxbrow-3","foxbrow","","F","0","1","1","3","0","0","0","0"
"S1-WUT-name:foxbrow-4","foxbrow","","F","0","1","1","3","0","0","0","0"
"S1-WUT-name:foxbrow-5","foxbrow","","F","0","0","1","3","0","0","0","0"
"S1-WUT-name:foxbrow-6","foxbrow","","F","1","0","1","4","0","0","0","0"
"S1-WUT-name:foxbrow-7","foxbrow","","F","0","1","1","4","1","0","0","0"
"S1-WUT-name:foxbrow-8","foxbrow","","F","0","1","2","4","0","0","0","0"
"S1-WUT-name:foxbrow-9","foxbrow","","F","0","1","1","4","0","0","0","0"
"S1-WUT-name:foxbrow-10","foxbrow","","F","0","1","1","3","0","0","0","0"
"S1-WUT-name:imacomputa-1","imacomputa","","D","1","0","0","1","0","0","0","0"
"S1-WUT-name:imacomputa-2","imacomputa","","D","0","1","0","1","1","0","0","0"
"S1-WUT-name:imacomputa-3","imacomputa","","D","0","1","1","1","1","0","0","0"
"S1-WUT-name:imacomputa-4","imacomputa","","D","0","1","1","1","1","0","0","0"
"S1-WUT-name:imacomputa-5","imacomputa","","D","0","1","1","1","1","0","0","0"
"S1-WUT-name:imacomputa-6","imacomputa","","D","0","1","1","0","0","0","0","0"
"S1-WUT-name:imacomputa-7","imacomputa","","D","0","1","1","0","0","0","0","0"
"S1-WUT-name:imacomputa-8","imacomputa","","D","0","0","1","0","0","0","0","0"
"S1-WUT-name:imacomputa-9","imacomputa","","D","0","0","0","0","0","0","0","0"
"S1-WUT-name:imacomputa-10","imacomputa","","D","0","0","0","0","0","0","0","0"
"S1-WUT-name:Jarry-1","Jarry","","G","0","0","0","0","0","8","2","0"
"S1-WUT-name:Jarry-2","Jarry","","G","0","0","0","0","0","8","1","0"
"S1-WUT-name:Jarry-3","Jarry","","G","0","0","0","0","0","8","1","0"
"S1-WUT-name:Jarry-4","Jarry","","G","0","0","0","0","0","8","1","0"
"S1-WUT-name:Jarry-5","Jarry","","G","0","0","0","0","0","9","1","0"
"S1-WUT-name:Jarry-6","Jarry","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:Jarry-7","Jarry","","G","0","0","0","0","0","9","2","1"
"S1-WUT-name:Jarry-8","Jarry","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:Jarry-9","Jarry","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:Jarry-10","Jarry","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:JB-1","JB","","D","0","1","1","0","1","0","0","0"
"S1-WUT-name:JB-2","JB","","D","0","1","1","0","1","0","0","0"
"S1-WUT-name:JB-3","JB","","D","0","0","1","0","1","0","0","0"
"S1-WUT-name:JB-4","JB","","D","0","0","1","0","1","0","0","0"
"S1-WUT-name:JB-5","JB","","D","1","0","1","1","1","0","0","0"
"S1-WUT-name:JB-6","JB","","D","1","1","1","0","1","0","0","0"
"S1-WUT-name:JB-7","JB","","D","0","1","2","0","1","0","0","0"
"S1-WUT-name:JB-8","JB","","D","0","1","2","0","1","0","0","0"
"S1-WUT-name:JB-9","JB","","D","0","1","2","0","1","0","0","0"
"S1-WUT-name:JB-10","JB","","D","0","1","1","0","1","0","0","0"
"S1-WUT-name:JohnPuck-1","John Puck","","F","1","1","1","1","0","0","0","0"
"S1-WUT-name:JohnPuck-2","John Puck","","F","1","2","1","0","1","0","0","0"
"S1-WUT-name:JohnPuck-3","John Puck","","F","1","1","2","0","1","0","0","0"
"S1-WUT-name:JohnPuck-4","John Puck","","F","0","1","2","0","1","0","0","0"
"S1-WUT-name:JohnPuck-5","John Puck","","F","0","1","2","0","1","0","0","0"
"S1-WUT-name:JohnPuck-6","John Puck","","F","0","1","2","0","0","0","0","0"
"S1-WUT-name:JohnPuck-7","John Puck","","F","0","1","2","0","0","0","0","0"
"S1-WUT-name:JohnPuck-8","John Puck","","F","0","1","2","0","0","0","0","0"
"S1-WUT-name:JohnPuck-9","John Puck","","F","0","1","2","0","0","0","0","0"
"S1-WUT-name:JohnPuck-10","John Puck","","F","0","1","2","0","0","0","0","0"
"S1-WUT-name:jurkey-1","jurkey","","F","1","1","3","1","0","0","0","0"
"S1-WUT-name:jurkey-2","jurkey","","F","0","1","3","1","0","0","0","0"
"S1-WUT-name:jurkey-3","jurkey","","F","0","1","2","1","0","0","0","0"
"S1-WUT-name:jurkey-4","jurkey","","F","0","0","2","0","0","0","0","0"
"S1-WUT-name:jurkey-5","jurkey","","F","0","0","2","0","0","0","0","0"
"S1-WUT-name:jurkey-6","jurkey","","F","0","0","2","0","0","0","0","0"
"S1-WUT-name:jurkey-7","jurkey","","F","1","0","2","1","0","0","0","0"
"S1-WUT-name:jurkey-8","jurkey","","F","1","1","2","1","0","0","0","0"
"S1-WUT-name:jurkey-9","jurkey","","F","1","1","3","1","0","0","0","0"
"S1-WUT-name:jurkey-10","jurkey","","F","1","1","3","1","0","0","0","0"
"S1-WUT-name:LePuckuer-1","LePuckuer","","D","1","1","3","1","1","0","0","0"
"S1-WUT-name:LePuckuer-2","LePuckuer","","D","1","1","3","1","0","0","0","0"
"S1-WUT-name:LePuckuer-3","LePuckuer","","D","1","1","3","1","0","0","0","0"
"S1-WUT-name:LePuckuer-4","LePuckuer","","D","0","1","2","0","0","0","0","0"
"S1-WUT-name:LePuckuer-5","LePuckuer","","D","0","1","2","0","0","0","0","0"
"S1-WUT-name:LePuckuer-6","LePuckuer","","D","0","1","2","0","0","0","0","0"
"S1-WUT-name:LePuckuer-7","LePuckuer","","D","0","1","2","0","0","0","0","0"
"S1-WUT-name:LePuckuer-8","LePuckuer","","D","0","1","2","0","0","0","0","0"
"S1-WUT-name:LePuckuer-9","LePuckuer","","D","1","0","2","1","0","0","0","0"
"S1-WUT-name:LePuckuer-10","LePuckuer","","D","1","1","2","1","1","0","0","0"
"S1-WUT-name:Light-1","Light","","G","0","0","0","0","0","10","3","1"
"S1-WUT-name:Light-2","Light","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:Light-3","Light","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:Light-4","Light","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:Light-5","Light","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:Light-6","Light","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:Light-7","Light","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:Light-8","Light","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:Light-9","Light","","G","0","0","0","0","0","11","2","0"
"S1-WUT-name:Light-10","Light","","G","0","0","0","0","0","11","3","0"
"S1-WUT-name:Marcus-1","Marcus","","F","1","1","3","0","0","0","0","0"
"S1-WUT-name:Marcus-2","Marcus","","F","0","1","3","0","0","0","0","0"
"S1-WUT-name:Marcus-3","Marcus","","F","0","1","3","0","0","0","0","0"
"S1-WUT-name:Marcus-4","Marcus","","F","0","1","3","0","0","0","0","0"
"S1-WUT-name:Marcus-5","Marcus","","F","0","1","3","0","0","0","0","0"
"S1-WUT-name:Marcus-6","Marcus","","F","1","1","3","1","0","0","0","0"
"S1-WUT-name:Marcus-7","Marcus","","F","1","2","3","1","1","0","0","0"
"S1-WUT-name:Marcus-8","Marcus","","F","1","1","3","1","1","0","0","0"
"S1-WUT-name:Marcus-9","Marcus","","F","1","1","3","1","1","0","0","0"
"S1-WUT-name:Marcus-10","Marcus","","F","1","1","3","1","0","0","0","0"
"S1-WUT-name:matvei-1","matvei","","F","1","1","4","1","1","0","0","0"
"S1-WUT-name:matvei-2","matvei","","F","1","1","4","0","0","0","0","0"
"S1-WUT-name:matvei-3","matvei","","F","1","1","4","0","0","0","0","0"
"S1-WUT-name:matvei-4","matvei","","F","1","1","4","0","0","0","0","0"
"S1-WUT-name:matvei-5","matvei","","F","0","1","4","0","0","0","0","0"
"S1-WUT-name:matvei-6","matvei","","F","0","1","4","0","0","0","0","0"
"S1-WUT-name:matvei-7","matvei","","F","1","0","3","1","0","0","0","0"
"S1-WUT-name:matvei-8","matvei","","F","1","1","3","1","1","0","0","0"
"S1-WUT-name:matvei-9","matvei","","F","1","1","4","1","1","0","0","0"
"S1-WUT-name:matvei-10","matvei","","F","1","1","4","1","1","0","0","0"
"S1-WUT-name:Midnight-1","Midnight","","F","1","1","3","1","0","0","0","0"
"S1-WUT-name:Midnight-2","Midnight","","F","1","1","3","1","1","0","0","0"
"S1-WUT-name:Midnight-3","Midnight","","F","1","1","4","1","1","0","0","0"
"S1-WUT-name:Midnight-4","Midnight","","F","1","1","4","1","0","0","0","0"
"S1-WUT-name:Midnight-5","Midnight","","F","1","1","4","1","0","0","0","0"
"S1-WUT-name:Midnight-6","Midnight","","F","1","1","4","0","0","0","0","0"
"S1-WUT-name:Midnight-7","Midnight","","F","1","1","4","0","0","0","0","0"
"S1-WUT-name:Midnight-8","Midnight","","F","1","1","4","0","0","0","0","0"
"S1-WUT-name:Midnight-9","Midnight","","F","0","1","3","0","0","0","0","0"
"S1-WUT-name:Midnight-10","Midnight","","F","0","1","3","0","0","0","0","0"
"S1-WUT-name:Miku-1","Miku","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Miku-2","Miku","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Miku-3","Miku","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Miku-4","Miku","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:Miku-5","Miku","","G","0","0","0","0","0","8","1","0"
"S1-WUT-name:Miku-6","Miku","","G","0","0","0","0","0","8","2","0"
"S1-WUT-name:Miku-7","Miku","","G","0","0","0","0","0","7","2","1"
"S1-WUT-name:Miku-8","Miku","","G","0","0","0","0","0","7","2","1"
"S1-WUT-name:Miku-9","Miku","","G","0","0","0","0","0","7","1","1"
"S1-WUT-name:Miku-10","Miku","","G","0","0","0","0","0","7","1","0"
"S1-WUT-name:milk-1","milk","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:milk-2","milk","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:milk-3","milk","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:milk-4","milk","","G","0","0","0","0","0","9","2","0"
"S1-WUT-name:milk-5","milk","","G","0","0","0","0","0","9","1","0"
"S1-WUT-name:milk-6","milk","","G","0","0","0","0","0","9","1","0"
"S1-WUT-name:milk-7","milk","","G","0","0","0","0","0","9","1","0"
"S1-WUT-name:milk-8","milk","","G","0","0","0","0","0","10","1","0"
"S1-WUT-name:milk-9","milk","","G","0","0","0","0","0","10","2","0"
"S1-WUT-name:milk-10","milk","","G","0","0","0","0","0","9","2","1"
"S1-WUT-name:moose-1","moose","","F","0","0","4","1","0","0","0","0"
"S1-WUT-name:moose-2","moose","","F","1","0","3","2","0","0","0","0"
"S1-WUT-name:moose-3","moose","","F","1","1","3","2","1","0","0","0"
"S1-WUT-name:moose-4","moose","","F","1","1","4","2","1","0","0","0"
"S1-WUT-name:moose-5","moose","","F","1","1","4","2","0","0","0","0"
