name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
ALEJO,76561198146087733,S,,8,7,3,4,0.7679368097710818,17,64,21,25,0,10,7,547,391.09999999999997,4,4,0,0,0,0,0,0,0,0,0,613.5,67.30417611350838,3.83,0.00,LBR,name:ALEJO,8203.8,0,8203.8,1025.475,0,1025.475,1,24,40,3,7,7,0
Anvil,76561198046087380,S/G,,24,29,3,26,1.1520432214836198,20,383,135,107,5,27,43,2124,1491.3,0,0,0,0,0,0,0,0,0,0,0,2544.5,101.08186127810589,2.34,0.00,MOFO,name:Anvil,22655.399999999998,0,22655.399999999998,943.9749999999999,0,943.9749999999999,14,296,87,9,18,38,7
BarDownBart,76561198268552083,S,Captain,23,20,7,13,0.868855861639531,46,235,91,103,1,36,25,2258,1535.1999999999996,2,3,0,0,0,0,0,0,0,0,0,1906.5,82.82368501078828,7.44,0.00,BB,name:BarDownBart,20716.9,0,20716.9,900.7347826086957,0,900.7347826086957,8,156,77,9,27,20,5
Bingus,76561198170165423,S,,19,13,1,12,0.5947993187768486,20,290,89,58,3,19,24,1392,1005.4,0,0,0,0,0,0,0,0,0,0,0,1619.5,74.09826898146972,1.36,0.00,LBR,name:Bingus,19670.5,0,19670.5,1035.2894736842106,0,1035.2894736842106,26,242,48,9,10,24,0
bleh,76561198300298208,S,,5,7,2,5,1.3269862667453027,9,57,9,17,13,7,8,329,264,0,0,0,0,0,0,0,0,0,0,0,561,106.34847080630212,1.49,0.00,FOX,name:bleh,4747.6,0,4747.6,949.5200000000001,0,949.5200000000001,2,32,25,1,6,6,2
Bloomer,76561199030119453,S/G,,22,13,4,9,0.6114545825123989,39,239,87,83,11,30,41,1963,1378,16,27,0,0,0,0,0,0,0,0,0,1737.5,81.7232567011764,8.08,0.00,BRG,name:Bloomer,19134.7,0,19134.7,869.7590909090909,0,869.7590909090909,12,157,80,8,22,29,12
BOESER,76561199088950776,S,,18,26,12,14,1.3170706996797379,76,202,65,89,3,31,26,1667,1246.9999999999998,1,2,0,0,0,0,0,0,0,0,0,2301.5,116.58608520434295,17.94,0.00,LBR,name:BOESER,17766.7,0,17766.7,987.0388888888889,0,987.0388888888889,3,73,129,5,26,11,15
Bwall,76561198278689368,S/G,,0,0,0,0,0,0,2,0,0,0,0,0,11,0.8,0,0,1,4,0,0,4,0,1,1,1,145,145,0.00,0.55,TOR,name:Bwall,0,900,900,0,900,900,0,2,0,0,0,0,0
carl,76561198095080755,S,Captain,3,1,0,1,0.3333333333333333,5,31,13,15,1,6,4,264,198.8,0,0,0,0,0,0,0,0,0,0,0,173,57.666666666666664,0.46,0.00,CG67,name:carl,2700,0,2700,900,0,900,2,25,6,3,3,3,1
Cave,,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Cave,0,0,0,0,0,0,0,0,0,0,0,0,0
ChiafNeef,76561198365208664,S,,17,26,10,16,1.4241459688757157,51,183,69,104,15,45,23,2286,1595,11,10,0,0,0,0,0,0,0,0,0,2025.5,110.94644845991394,11.22,0.00,CG67,name:ChiafNeef,16430.9,0,16430.9,966.5235294117648,0,966.5235294117648,5,78,104,7,38,13,11
Chilliam,76561198319462482,S,,11,12,1,11,1.0318339893759316,3,107,41,18,0,12,12,663,499.2,0,0,0,0,0,0,0,0,0,0,0,786.5,67.62811938701418,0.61,0.00,PP,name:Chilliam,10466.8,0,10466.8,951.5272727272727,0,951.5272727272727,4,87,20,6,6,10,2
clashroyale,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:clashroyale,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooley,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Cooley,0,0,0,0,0,0,0,0,0,0,0,0,0
dabz,76561198007427371,S/G,,19,17,4,13,0.8991590218560287,25,205,85,67,3,16,29,1571,1216.3000000000002,0,0,0,0,0,0,0,0,0,0,0,1649.5,87.24487097361879,3.33,0.00,BRG,name:dabz,17015.9,0,17015.9,895.5736842105264,0,895.5736842105264,13,158,47,8,8,26,3
Dan,76561199071381428,S/G,,0,0,0,0,0,0,7,0,0,0,0,0,26,4.3,0,0,2,21,7,3,11,3.2764718119409197,0.6666666666666667,0,0,157.5,73.7206157686707,0.00,4.04,RR,name:Dan,0,1922.8,1922.8,0,961.4,961.4,0,7,0,0,0,0,0
DankyD,76561199659216812,S,,13,12,3,9,0.9328116497810484,14,172,69,55,1,17,20,1062,733.1,0,0,0,0,0,0,0,0,0,0,0,1206.5,93.78643795506957,3.04,0.00,BB,name:DankyD,11577.9,0,11577.9,890.6076923076923,0,890.6076923076923,10,109,62,3,14,13,7
DEMKO,,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:DEMKO,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,76561199223944519,S,,4,2,0,2,0.4860661049902787,6,43,6,10,9,8,4,310,230.9,0,0,0,0,0,0,0,0,0,0,0,231,56.14063512637719,0.66,0.00,BB,name:DP,3703.2,0,3703.2,925.8,0,925.8,1,29,14,1,7,3,1
ElitestPeggerson,76561198034215852,S,,6,2,2,0,0.3333333333333333,8,40,16,10,2,3,10,331,252.70000000000002,1,4,0,0,0,0,0,0,0,0,0,371,61.833333333333336,1.71,0.00,CG67,name:ElitestPeggerson,5400,0,5400,900,0,900,2,25,15,1,2,8,2
ethswan,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,FOX,name:ethswan,0,0,0,0,0,0,0,0,0,0,0,0,0
extendo,76561198731242562,S,,4,3,0,3,0.6869879395450613,0,55,16,5,0,5,7,281,198.1,0,0,0,0,0,0,0,0,0,0,0,296,67.78281003511272,0.00,0.00,PP,name:extendo,3930.2,0,3930.2,982.55,0,982.55,4,43,11,3,2,4,2
Fly,76561199349727090,S,,23,39,15,24,1.6756096163761005,80,274,200,193,11,54,58,3496,2867,0,0,0,0,0,0,0,0,0,0,0,3430.5,147.38919971739006,15.91,0.00,FOX,name:Fly,20947.6,0,20947.6,910.7652173913043,0,910.7652173913043,13,195,79,9,46,48,10
FlyinCharles,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:FlyinCharles,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,76561198042105035,S,,21,17,6,11,0.8897314522976006,40,182,54,60,21,17,22,1230,818.8000000000001,4,7,0,0,0,0,0,0,0,0,0,1656.5,86.69647945476326,7.46,0.00,BRG,name:FORD,17196.2,0,17196.2,818.8666666666667,0,818.8666666666667,7,110,71,5,12,14,8
Foster,76561199191678078,S/G,Alternate Captain,0,5,0,5,0,2,109,27,11,0,1,6,555,226.6,0,0,24,255,42,31,182,1.5639481000926787,0.8352941176470589,12,6,3152.5,117.38919965576595,0.00,51.70,LBR,name:Foster,0,24169.599999999995,24169.599999999995,0,1007.0666666666665,1007.0666666666665,0,108,1,0,1,6,0
foxbrow,76561198987362385,S,,18,30,12,18,1.641576886597437,47,175,32,43,62,25,20,1110,787.1999999999999,39,27,0,0,0,0,0,0,0,0,0,2257.5,123.52866071645713,13.25,0.00,FOX,name:foxbrow,16447.6,0,16447.6,913.7555555555555,0,913.7555555555555,2,45,119,5,20,9,11
Frolov,76561198020702570,S,,3,3,1,2,1,5,28,10,9,0,0,4,149,107.10000000000001,0,0,0,0,0,0,0,0,0,0,0,269,89.66666666666667,0.88,0.00,TOR,name:Frolov,2700,0,2700,900,0,900,0,18,10,0,0,3,1
Get Woke,76561198119690025,S,,1,0,0,0,0,0,9,0,3,0,0,1,47,27.4,0,0,0,0,0,0,0,0,0,0,0,38,38,0.00,0.00,,name:Get Woke,900,0,900,900,0,900,1,2,7,0,0,1,0
ghost,76561199046702548,S/G,,0,5,0,5,0,0,83,21,6,0,4,8,329,125.49999999999999,0,0,18,172,26,39,107,1.3607657505728012,0.8488372093023255,12,5,2317.5,121.2913318058641,0.00,34.89,MOFO,name:ghost,0,17196.199999999997,17196.199999999997,0,955.3444444444443,955.3444444444443,0,83,0,4,0,8,0
Glenlivet,76561198432372019,G,,0,4,0,4,0,0,44,5,1,0,0,3,205,73.49999999999999,0,0,13,125,23,26,76,1.6605832096586581,0.8160000000000001,8,3,1550,111.90886847699653,0.00,23.75,PP,name:Glenlivet,0,12465.499999999998,12465.499999999998,0,958.8846153846152,958.8846153846152,0,44,0,0,0,3,0
GOODLEAF,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:GOODLEAF,0,0,0,0,0,0,0,0,0,0,0,0,0
google,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,MOFO,name:google,0,0,0,0,0,0,0,0,0,0,0,0,0
GrantOsaurus,76561199387690211,S,,2,1,0,1,0.8522727272727273,0,7,4,3,0,0,0,61,36.2,0,0,0,0,0,0,0,0,0,0,0,54.5,46.44886363636363,0.00,0.00,CG67,name:GrantOsaurus,1056,0,1056,528,0,528,0,3,4,0,0,0,0
Gumpy,76561198983591530,G,,0,4,0,4,0,2,68,11,3,0,3,7,255,70.60000000000001,0,0,18,152,28,41,83,1.5539344757629387,0.8157894736842105,5,2,1730,96.01095153821014,0.00,31.99,BB,name:Gumpy,0,16216.9,16216.9,0,900.9388888888889,900.9388888888889,0,68,0,2,1,7,0
HatTrickHomer,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:HatTrickHomer,0,0,0,0,0,0,0,0,0,0,0,0,0
hayden,76561198401353673,S,Alternate Captain,24,24,17,7,0.9992551847928165,119,256,63,141,7,44,34,2841,1984.1000000000004,76,58,0,0,0,0,0,0,0,0,0,2811.5,117.05858133520849,22.90,0.00,BB,name:hayden,21616.1,0,21616.1,900.6708333333332,0,900.6708333333332,1,108,145,5,39,21,13
