name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
ALEJO,76561198146087733,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,LBR,name:ALEJO,0,0,0,0,0,0,0,0,0,0,0,0,0
Anvil,76561198046087380,S/G,,6,4,0,4,0.622772722554752,1,102,29,18,0,7,15,552,423.3,0,0,0,0,0,0,0,0,0,0,0,524.5,81.66107324499187,0.29,0.00,MOFO,name:Anvil,5780.6,0,5780.6,963.4333333333334,0,963.4333333333334,4,83,19,5,2,14,1
Bingus,76561198170165423,S,,8,7,1,6,0.8236047742930726,7,101,34,21,2,4,9,501,336.40000000000003,0,0,0,0,0,0,0,0,0,0,0,670,78.83074268233695,0.61,0.00,LBR,name:Bingus,7649.3,0,7649.3,956.1625,0,956.1625,6,84,17,1,3,8,1
bleh,76561198300298208,S,,7,4,2,2,0.5674206005201355,5,78,29,27,15,8,9,525,469,0,0,0,0,0,0,0,0,0,0,0,546,77.4529119709985,0.70,0.00,FOX,name:bleh,6344.5,0,6344.5,906.3571428571429,0,906.3571428571429,3,59,19,2,6,8,1
BOESER,76561199088950776,S,,8,10,6,4,1.1765782489901035,33,78,20,38,3,16,17,672,457.2,0,0,0,0,0,0,0,0,0,0,0,993,116.83422012471729,7.14,0.00,LBR,name:BOESER,7649.3,0,7649.3,956.1625,0,956.1625,2,36,42,2,14,10,7
Bwall,76561198278689368,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:Bwall,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilliam,76561198319462482,S,,1,0,0,0,0,0,10,1,0,0,0,3,37,12.2,0,0,0,0,0,0,0,0,0,0,0,53.5,53.5,0.00,0.00,PP,name:Chilliam,900,0,900,900,0,900,1,9,1,0,0,3,0
Dan,76561199071381428,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,RR,name:Dan,0,0,0,0,0,0,0,0,0,0,0,0,0
ethswan,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,FOX,name:ethswan,0,0,0,0,0,0,0,0,0,0,0,0,0
extendo,76561198731242562,S,,1,2,0,2,1.4055911291582073,0,18,5,4,0,1,2,106,68.2,0,0,0,0,0,0,0,0,0,0,0,124,87.14665000780884,0.00,0.00,PP,name:extendo,1280.6,0,1280.6,1280.6,0,1280.6,0,15,3,0,1,2,0
Fly,76561199349727090,S,,7,6,3,3,0.8511309007802034,20,86,39,42,6,17,13,810,648.0999999999999,0,0,0,0,0,0,0,0,0,0,0,713.5,101.21364961777918,3.01,0.00,FOX,name:Fly,6344.5,0,6344.5,906.3571428571429,0,906.3571428571429,1,49,37,4,13,10,3
Foster,76561199191678078,S/G,Alternate Captain,0,2,0,2,0,2,29,6,7,0,1,3,161,60.00000000000001,0,0,8,84,12,8,64,1.4120046543857125,0.8571428571428572,4,2,1052.5,123.84457489508021,0.00,15.57,LBR,name:Foster,0,7648.7,7648.7,0,956.0875,956.0875,0,28,1,1,0,3,0
foxbrow,76561198987362385,S,,7,8,2,6,1.134841201040271,11,76,21,13,19,5,5,429,274.9,14,18,0,0,0,0,0,0,0,0,0,659,93.48254393569233,2.64,0.00,FOX,name:foxbrow,6344.5,0,6344.5,906.3571428571429,0,906.3571428571429,2,36,38,0,5,5,0
Frolov,76561198020702570,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:Frolov,0,0,0,0,0,0,0,0,0,0,0,0,0
ghost,76561199046702548,S/G,,0,3,0,3,0,0,30,7,1,0,3,2,129,41,0,0,6,59,6,9,44,0.9341590838321281,0.8983050847457628,3,1,795,123.77607860775697,0.00,10.32,MOFO,name:ghost,0,5780.6,5780.6,0,963.4333333333334,963.4333333333334,0,30,0,1,2,2,0
Glenlivet,76561198432372019,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,PP,name:Glenlivet,0,0,0,0,0,0,0,0,0,0,0,0,0
google,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,MOFO,name:google,0,0,0,0,0,0,0,0,0,0,0,0,0
imacomputa,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:imacomputa,0,0,0,0,0,0,0,0,0,0,0,0,0
Invincible,76561198074692393,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,PP,name:Invincible,0,0,0,0,0,0,0,0,0,0,0,0,0
John Puck,76561198038209028,S,Captain,6,8,3,5,1.245545445109504,19,79,23,30,0,10,2,591,455.20000000000005,0,0,0,0,0,0,0,0,0,0,0,665.5,103.61381171504688,3.97,0.00,MOFO,name:JohnPuck,5780.6,0,5780.6,963.4333333333334,0,963.4333333333334,2,42,37,1,9,2,0
Jyler,76561198299335773,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,FOX,name:Jyler,0,0,0,0,0,0,0,0,0,0,0,0,0
LePuckuer,76561198073174004,S,,2,1,1,0,0.4127304411629827,5,20,11,16,1,3,2,230,169.7,0,0,0,0,0,0,0,0,0,0,0,174.5,72.02146198294048,0.74,0.00,PP,name:LePuckuer,2180.6,0,2180.6,1090.3,0,1090.3,1,10,10,0,3,1,1
