match_id,week,home_team_id,away_team_id,stage,status,imported_on
M1-G1,1,RCH,BLD,reg,Scheduled,
M1-G2,1,RCH,BLD,reg,Scheduled,
M1-G3,1,RCH,BLD,reg,Scheduled,
M2-G1,1,LGT,BLM,reg,Scheduled,
M2-G2,1,LGT,BLM,reg,Scheduled,
M2-G3,1,LGT,BLM,reg,Scheduled,
M3-G1,1,CLE,BCK,reg,Scheduled,
M3-G2,1,CLE,BCK,reg,Scheduled,
M3-G3,1,CLE,BCK,reg,Scheduled,
M4-G1,2,BLD,LGT,reg,Scheduled,
M4-G2,2,BLD,LGT,reg,Scheduled,
M4-G3,2,BLD,LGT,reg,Scheduled,
M5-G1,2,RCH,CLE,reg,Scheduled,
M5-G2,2,RCH,CLE,reg,Scheduled,
M5-G3,2,RCH,CLE,reg,Scheduled,
M6-G1,2,BLM,BCK,reg,Scheduled,
M6-G2,2,BLM,BCK,reg,Scheduled,
M6-G3,2,BLM,BCK,reg,Scheduled,
M7-G1,3,CLE,BLD,reg,Scheduled,
M7-G2,3,CLE,BLD,reg,Scheduled,
M7-G3,3,CLE,BLD,reg,Scheduled,
M8-G1,3,BCK,LGT,reg,Scheduled,
M8-G2,3,BCK,LGT,reg,Scheduled,
M8-G3,3,BCK,LGT,reg,Scheduled,
M9-G1,3,BLM,RCH,reg,Scheduled,
M9-G2,3,BLM,RCH,reg,Scheduled,
M9-G3,3,BLM,RCH,reg,Scheduled,
M10-G1,4,BLD,BCK,reg,Scheduled,
M10-G2,4,BLD,BCK,reg,Scheduled,
M10-G3,4,BLD,BCK,reg,Scheduled,
M11-G1,4,CLE,BLM,reg,Scheduled,
M11-G2,4,CLE,BLM,reg,Scheduled,
M11-G3,4,CLE,BLM,reg,Scheduled,
M12-G1,4,LGT,RCH,reg,Scheduled,
M12-G2,4,LGT,RCH,reg,Scheduled,
M12-G3,4,LGT,RCH,reg,Scheduled,
M13-G1,5,BLM,BLD,reg,Scheduled,
M13-G2,5,BLM,BLD,reg,Scheduled,
M13-G3,5,BLM,BLD,reg,Scheduled,
M14-G1,5,RCH,BCK,reg,Scheduled,
M14-G2,5,RCH,BCK,reg,Scheduled,
M14-G3,5,RCH,BCK,reg,Scheduled,
M15-G1,5,LGT,CLE,reg,Scheduled,
M15-G2,5,LGT,CLE,reg,Scheduled,
M15-G3,5,LGT,CLE,reg,Scheduled,
M16-G1,6,BLD,RCH,reg,Scheduled,
M16-G2,6,BLD,RCH,reg,Scheduled,
M16-G3,6,BLD,RCH,reg,Scheduled,
M17-G1,6,BLM,LGT,reg,Scheduled,
M17-G2,6,BLM,LGT,reg,Scheduled,
M17-G3,6,BLM,LGT,reg,Scheduled,
M18-G1,6,BCK,CLE,reg,Scheduled,
M18-G2,6,BCK,CLE,reg,Scheduled,
M18-G3,6,BCK,CLE,reg,Scheduled,
M19-G1,7,LGT,BLD,reg,Scheduled,
M19-G2,7,LGT,BLD,reg,Scheduled,
M19-G3,7,LGT,BLD,reg,Scheduled,
M20-G1,7,CLE,RCH,reg,Scheduled,
M20-G2,7,CLE,RCH,reg,Scheduled,
M20-G3,7,CLE,RCH,reg,Scheduled,
M21-G1,7,BCK,BLM,reg,Scheduled,
M21-G2,7,BCK,BLM,reg,Scheduled,
M21-G3,7,BCK,BLM,reg,Scheduled,
M22-G1,8,BLD,CLE,reg,Scheduled,
M22-G2,8,BLD,CLE,reg,Scheduled,
M22-G3,8,BLD,CLE,reg,Scheduled,
M23-G1,8,LGT,BCK,reg,Scheduled,
M23-G2,8,LGT,BCK,reg,Scheduled,
M23-G3,8,LGT,BCK,reg,Scheduled,
M24-G1,8,RCH,BLM,reg,Scheduled,
M24-G2,8,RCH,BLM,reg,Scheduled,
M24-G3,8,RCH,BLM,reg,Scheduled,
M25-G1,9,BCK,BLD,reg,Scheduled,
M25-G2,9,BCK,BLD,reg,Scheduled,
M25-G3,9,BCK,BLD,reg,Scheduled,
M26-G1,9,BLM,CLE,reg,Scheduled,
M26-G2,9,BLM,CLE,reg,Scheduled,
M26-G3,9,BLM,CLE,reg,Scheduled,
M27-G1,9,RCH,LGT,reg,Scheduled,
M27-G2,9,RCH,LGT,reg,Scheduled,
M27-G3,9,RCH,LGT,reg,Scheduled,
M28-G1,10,BLD,BLM,reg,Scheduled,
M28-G2,10,BLD,BLM,reg,Scheduled,
M28-G3,10,BLD,BLM,reg,Scheduled,
M29-G1,10,BCK,RCH,reg,Scheduled,
M29-G2,10,BCK,RCH,reg,Scheduled,
M29-G3,10,BCK,RCH,reg,Scheduled,
M30-G1,10,CLE,LGT,reg,Scheduled,
M30-G2,10,CLE,LGT,reg,Scheduled,
M30-G3,10,CLE,LGT,reg,Scheduled,
M31-G1,11,TBD,TBD,sf,Scheduled,
M31-G2,11,TBD,TBD,sf,Scheduled,
M31-G3,11,TBD,TBD,sf,Scheduled,
M31-G4,11,TBD,TBD,sf,Scheduled,
M31-G5,11,TBD,TBD,sf,Scheduled,
M32-G1,11,TBD,TBD,sf,Scheduled,
M32-G2,11,TBD,TBD,sf,Scheduled,
M32-G3,11,TBD,TBD,sf,Scheduled,
M32-G4,11,TBD,TBD,sf,Scheduled,
M32-G5,11,TBD,TBD,sf,Scheduled,
M33-G1,12,TBD,TBD,f,Scheduled,
M33-G2,12,TBD,TBD,f,Scheduled,
M33-G3,12,TBD,TBD,f,Scheduled,
M33-G4,12,TBD,TBD,f,Scheduled,
M33-G5,12,TBD,TBD,f,Scheduled,
